Movie Name,Movie Genre,Movie Rating,Movie Votes,Movie Revenue,Movie Year Cleaned,Movie Budget Cleaned,Movie Languages,
Nope,"Horror, Mystery, Sci-Fi",6.8,245639,"171,235,592",2022,"68,000,000","English, Spanish",
The Banshees of Inisherin,"Comedy, Drama",7.7,228670,"49,262,687",2022, ,English,
The Black Book,Thriller,5.1,840, ,2023,"1,000,000",English,
Operation Fortune: Ruse de Guerre,"Action, Comedy, Thriller",6.3,73319,"38,165,964",2023,"50,000,000","English, Turkish, Russian, Spanish, Japanese",
Ghosted,"Action, Adventure, Comedy",5.8,53213, ,2023, ,English,
Barber,"Crime, Drama, Mystery",5,432,"16,038",2023, ,English,
Fall,Thriller,6.4,93864,"17,363,261",2022,"3,000,000",English,
Renfield,"Comedy, Fantasy, Horror",6.4,72638,"26,348,651",2023,"65,000,000","English, French",
The Suicide Squad,"Action, Adventure, Comedy",7.2,387768,"168,717,425",2021,"185,000,000","English, Spanish, Japanese, Cantonese",
Hypnotic,"Action, Mystery, Thriller",5.5,22941,"12,328,503",2023,"70,000,000","English, Spanish",
Glass Onion,"Comedy, Crime, Drama",7.1,413100,"13,280,000",2022,"40,000,000","English, French",
Cat Person,"Drama, Thriller",5.7,251,"9,562",2023, ,English,
Halloween Ends,"Horror, Thriller",5,66130,"104,361,355",2022,"20,000,000",English,
The Fabelmans,Drama,7.5,103722,"45,628,248",2022,"40,000,000",English,
The Re-Education of Molly Singer,Comedy,6.2,532, ,2023, ,English,
The Exorcists,"Horror, Mystery, Thriller",2.9,194, ,2023, ,English,
The Little Things,"Crime, Drama, Mystery",6.3,117819,"30,842,746",2021,"30,000,000","English, Spanish, Arabic",
Amsterdam,"Comedy, Drama, History",6.1,84715,"31,245,810",2022,"80,000,000","English, French, German",
Overhaul,"Action, Crime, Drama",4.9,479, ,2023, ,Portuguese,
Pain Hustlers,"Crime, Drama",5.8,244, ,2023,"50,000,000",English,
Jungle Cruise,"Action, Adventure, Comedy",6.6,205451,"220,889,446",2021,"200,000,000","English, German, Spanish, Tupi, Italian, Portuguese, Latin, French",
Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy",7.1,201681,"204,334,455",2021,"75,000,000",English,
The Conjuring: The Devil Made Me Do It,"Horror, Mystery, Thriller",6.3,131584,"206,431,050",2021,"39,000,000","English, Latin",
The Black Phone,"Horror, Mystery, Thriller",6.9,177203,"161,440,742",2021,"18,000,000",English,
The Boy and the Heron,"Animation, Adventure, Drama",7.7,1470,"56,175,911",2023, ,Japanese,
Aftersun,Drama,7.7,76127,"8,345,462",2022, ,"English, Turkish, Spanish",
Nobody,"Action, Crime, Drama",7.4,306512,"57,510,518",2021,"16,000,000","English, Russian, Spanish",
DogMan,"Drama, Thriller",6.5,795,"1,542,919",2023,21000000,"English, Spanish",
Air,"Drama, Sport",7.4,145855,"90,060,106",2023,"90,000,000",English,
Fresh,"Horror, Thriller",6.7,68079, ,2022, ,English,
Joy Ride,Comedy,6.5,15666,"15,782,536",2023, ,"English, Korean, Mandarin",
Elvis,"Biography, Drama, Music",7.3,217351,"288,670,284",2022,"85,000,000",English,
No Time to Die,"Action, Adventure, Thriller",7.3,430073,"774,153,007",2021,"250,000,000","English, French, Italian, Russian, Spanish, Norwegian, German",
The Voyeurs,"Drama, Mystery, Thriller",6.1,27084, ,2021, ,English,
Kushi,"Comedy, Drama, Romance",5.5,6268,"202,352",2023, ,"Tamil, Kannada, Malayalam, Telugu, English, Kashmiri, Hindi, Urdu",
Extraction II,"Action, Thriller",7,129416, ,2023, ,English,
Hit Man,"Action, Comedy",7.9,386, ,2023, ,English,
Kandahar,"Action, Thriller",6,23156,"9,189,524",2023, ,English,
Ant-Man and the Wasp: Quantumania,"Action, Adventure, Comedy",6.1,206938,"476,071,180",2023,"200,000,000",English,
Dicks: The Musical,"Comedy, Musical",5.6,224,"220,867",2023, ,English,
Cassandro,"Biography, Drama, Sport",6.5,2242, ,2023, ,English,
Ferrari,"Biography, Drama, History",6.8,597, ,2023,"110,000,000",English,
Old,"Drama, Horror, Mystery",5.8,149830,"90,146,510",2021,"18,000,000",English,
The French Dispatch,"Comedy, Drama, Romance",7.1,142822,"46,333,545",2021,"25,000,000","English, French",
The King's Man,"Action, Adventure, Thriller",6.3,164298,"125,897,478",2021,"100,000,000","English, Latin, German, French, Russian",
The Three Musketeers: D'Artagnan,"Action, Adventure, History",6.7,12590,"31,188,574",2023,37800000,"French, English, Italian, Spanish, German, Latin",
Shazam! Fury of the Gods,"Action, Adventure, Comedy",6,110025,"133,838,006",2023,"125,000,000",English,
Thor: Love and Thunder,"Action, Adventure, Comedy",6.2,379858,"760,928,081",2022,"250,000,000",English,
The Northman,"Action, Adventure, Drama",7,237203,"69,633,110",2022,"70,000,000","English, Norse, Old, Ukrainian",
Where the Crawdads Sing,"Drama, Mystery, Romance",7.2,108525,"144,353,965",2022,"24,000,000",English,
